"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"01053108";"01053100";"2";"Kampenes";;""
"01053109";"01053100";"2";"Ise";;""
"01053110";"01053100";"2";"Skjebergdalen";;""
"01061100";"";"1";"Østsiden syd";;""
"01061101";"01061100";"2";"Gansrød/Ulfeng";;""
"01061102";"01061100";"2";"Vaterland";;""
"01061103";"01061100";"2";"Kongsten syd";;""
"01061104";"01061100";"2";"Kongsten nord";;""
"01061105";"01061100";"2";"Gamlebyen";;""
"01061106";"01061100";"2";"Byens marker";;""
"01061107";"01061100";"2";"Gudevold";;""
"01061108";"01061100";"2";"Mineberget";;""
"01061109";"01061100";"2";"Prestelandet";;""
"01061110";"01061100";"2";"Øra";;""
"01061200";"";"1";"Østsiden nord";;""
"01061201";"01061200";"2";"Nabbetorp";;""
"01061202";"01061200";"2";"Løkkeberg";;""
"01061203";"01061200";"2";"Haugsten";;""
"01061204";"01061200";"2";"Løkkeberg/Huseby";;""
"01061205";"01061200";"2";"Lundheim";;""
"01061206";"01061200";"2";"Sorgenfri";;""
"01061300";"";"1";"Sentrum syd";;""
"01061301";"01061300";"2";"Cicignon syd";;""
"01061302";"01061300";"2";"Lykkeberg";;""
"01061303";"01061300";"2";"Cicignon nord";;""
"01061304";"01061300";"2";"Apenesfjellet";;""
"01061305";"01061300";"2";"Torvet";;""
"01061306";"01061300";"2";"Glemmen kirke";;""
"01061307";"01061300";"2";"St.Hans fjellet";;""
"01061400";"";"1";"Sentrum vest";;""
"01061401";"01061400";"2";"Holmen øst";;""
"01061402";"01061400";"2";"Holmen vest";;""
"01061403";"01061400";"2";"Torsvikberget";;""
"01061404";"01061400";"2";"Seut/Fjellberg";;""
"01061500";"";"1";"Glemmen vest";;""
"01061501";"01061500";"2";"Torsvik";;""
"01061502";"01061500";"2";"Torsvikhavna";;""
"01061503";"01061500";"2";"Skrellen/Lia";;""
"01061504";"01061500";"2";"Labråten/Riisløkka";;""
"01061505";"01061500";"2";"Gluppe/Pettersand";;""
"01061506";"01061500";"2";"Ambjørnrød/Krabberød syd";;""
"01061507";"01061500";"2";"Ambjørnrød/Krabberød nord";;""
"01061600";"";"1";"Glemmen nord";;""
"01061601";"01061600";"2";"Brønnerød";;""
"01061602";"01061600";"2";"Veum";;""
"01061603";"01061600";"2";"Kjevelsrød";;""
"01061604";"01061600";"2";"Evenrød";;""
"01061605";"01061600";"2";"Nysted/Høyum";;""
"01061700";"";"1";"Glemmen mellom";;""
"01061701";"01061700";"2";"Trara";;""
"01061702";"01061700";"2";"Kniple";;""
"01061703";"01061700";"2";"Traramoen";;""
"01061704";"01061700";"2";"Åsebråten";;""
"01061705";"01061700";"2";"Christianslund";;""
"01061706";"01061700";"2";"Sandbæk";;""
"01061707";"01061700";"2";"Oredalen";;""
"01061800";"";"1";"Sentrum nord";;""
"01061801";"01061800";"2";"Bydalen";;""
"01061802";"01061800";"2";"Kapellfjellet";;""
"01061803";"01061800";"2";"Bilettberget";;""
"01061804";"01061800";"2";"Damyr";;""
"01061805";"01061800";"2";"Lahellemoen";;""
"01061806";"01061800";"2";"Hassingen";;""
"01061807";"01061800";"2";"Bratthammeren";;""
"01061808";"01061800";"2";"Lillebæk";;""
"01061900";"";"1";"Glemmen øst";;""
"01061901";"01061900";"2";"Lislebyberget";;""
